DATE,THREEFF2
1993-03-02,4.9473
1993-03-03,4.8747
1993-03-04,4.8056
1993-03-05,4.9150
1993-03-08,4.9383
1993-03-09,5.0131
1993-03-10,5.0656
1993-03-11,5.0706
1993-03-12,5.1811
1993-03-15,5.2565
1993-03-16,5.1874
1993-03-17,5.1286
1993-03-18,5.0247
1993-03-19,5.0289
1993-03-22,5.0231
1993-03-23,4.9773
1993-03-24,5.0114
1993-03-25,5.0226
1993-03-26,5.1329
1993-03-29,5.1142
1993-03-30,5.0698
1993-03-31,5.0853
1993-04-01,5.0918
1993-04-02,5.1612
1993-04-05,5.1382
1993-04-06,5.0996
1993-04-07,5.0733
1993-04-08,4.9787
1993-04-09,.
1993-04-12,4.9137
1993-04-13,4.9105
1993-04-14,4.8751
1993-04-15,4.8594
1993-04-16,4.8702
1993-04-19,.
1993-04-20,4.8607
1993-04-21,4.8536
1993-04-22,4.8305
1993-04-23,4.8339
1993-04-26,4.8638
1993-04-27,4.9421
1993-04-28,4.9616
1993-04-29,4.9134
1993-04-30,.
1993-05-03,4.8582
1993-05-04,4.8226
1993-05-05,4.8309
1993-05-06,4.8208
1993-05-07,4.8272
1993-05-10,4.8128
1993-05-11,4.8090
1993-05-12,4.8421
1993-05-13,4.9176
1993-05-14,4.9678
1993-05-17,5.0366
1993-05-18,5.0884
1993-05-19,5.0662
1993-05-20,5.0576
1993-05-21,5.1211
1993-05-24,5.1811
1993-05-25,5.1975
1993-05-26,5.1724
1993-05-27,5.1827
1993-05-28,5.2240
1993-05-31,.
1993-06-01,5.1614
1993-06-02,5.1486
1993-06-03,5.1153
1993-06-04,5.2398
1993-06-07,5.2430
1993-06-08,5.2656
1993-06-09,5.2621
1993-06-10,5.2630
1993-06-11,5.1572
1993-06-14,5.1283
1993-06-15,5.0990
1993-06-16,5.0839
1993-06-17,5.0638
1993-06-18,5.1026
1993-06-21,5.0899
1993-06-22,5.0812
1993-06-23,5.0921
1993-06-24,5.0596
1993-06-25,5.0176
1993-06-28,4.9712
1993-06-29,4.9438
1993-06-30,4.9482
1993-07-01,4.9394
1993-07-02,4.8934
1993-07-05,.
1993-07-06,4.9329
1993-07-07,4.9457
1993-07-08,4.9182
1993-07-09,4.8980
1993-07-12,4.8837
1993-07-13,4.9131
1993-07-14,4.8648
1993-07-15,4.8639
1993-07-16,4.8620
1993-07-19,4.8687
1993-07-20,4.9330
1993-07-21,5.0249
1993-07-22,5.1171
1993-07-23,5.1801
1993-07-26,5.1718
1993-07-27,5.1837
1993-07-28,5.1637
1993-07-29,5.0672
1993-07-30,5.0686
1993-08-02,5.1110
1993-08-03,5.1005
1993-08-04,5.1087
1993-08-05,5.0904
1993-08-06,5.0680
1993-08-09,5.0253
1993-08-10,5.0320
1993-08-11,5.0254
1993-08-12,5.0106
1993-08-13,4.9613
1993-08-16,4.9131
1993-08-17,4.9226
1993-08-18,4.8985
1993-08-19,4.8418
1993-08-20,4.8205
1993-08-23,4.9596
1993-08-24,4.7964
1993-08-25,4.7278
1993-08-26,4.6481
1993-08-27,.
1993-08-30,4.6445
1993-08-31,4.6485
1993-09-01,4.6541
1993-09-02,4.6135
1993-09-03,4.5092
1993-09-06,.
1993-09-07,4.4511
1993-09-08,4.4690
1993-09-09,4.5816
1993-09-10,4.5463
1993-09-13,4.5379
1993-09-14,4.6414
1993-09-15,4.6705
1993-09-16,4.6666
1993-09-17,4.6800
1993-09-20,4.7082
1993-09-21,4.7338
1993-09-22,4.7326
1993-09-23,4.7255
1993-09-24,4.7232
1993-09-27,4.6288
1993-09-28,4.5958
1993-09-29,4.6418
1993-09-30,4.6977
1993-10-01,4.6582
1993-10-04,4.6387
1993-10-05,4.6474
1993-10-06,4.6335
1993-10-07,4.6172
1993-10-08,4.5457
1993-10-11,.
1993-10-12,4.5446
1993-10-13,4.5457
1993-10-14,4.5060
1993-10-15,4.4723
1993-10-18,4.5356
1993-10-19,4.5502
1993-10-20,4.5351
1993-10-21,4.6045
1993-10-22,4.6586
1993-10-25,4.7227
1993-10-26,4.7093
1993-10-27,4.7231
1993-10-28,.
1993-10-29,4.7422
1993-11-01,4.8621
1993-11-02,4.9517
1993-11-03,4.9607
1993-11-04,4.9826
1993-11-05,5.0602
1993-11-08,5.0203
1993-11-09,4.9837
1993-11-10,5.0258
1993-11-11,.
1993-11-12,4.9763
1993-11-15,4.9701
1993-11-16,4.9336
1993-11-17,4.9269
1993-11-18,4.9827
1993-11-19,5.0825
1993-11-22,5.1419
1993-11-23,5.0901
1993-11-24,5.0762
1993-11-25,.
1993-11-26,5.0279
1993-11-29,5.0117
1993-11-30,5.0683
1993-12-01,5.0712
1993-12-02,5.0732
1993-12-03,5.0890
1993-12-06,5.0286
1993-12-07,5.0224
1993-12-08,5.0177
1993-12-09,5.0027
1993-12-10,5.0510
1993-12-13,5.1000
1993-12-14,5.1405
1993-12-15,5.1474
1993-12-16,5.1525
1993-12-17,5.1275
1993-12-20,5.1469
1993-12-21,5.1646
1993-12-22,5.0868
1993-12-23,5.0542
1993-12-24,.
1993-12-27,5.0478
1993-12-28,5.0470
1993-12-29,5.0608
1993-12-30,5.0676
1993-12-31,5.1491
1994-01-03,5.2490
1994-01-04,5.2337
1994-01-05,5.2396
1994-01-06,5.1805
1994-01-07,5.0207
1994-01-10,4.9697
1994-01-11,4.9513
1994-01-12,4.9008
1994-01-13,4.9920
1994-01-14,5.0583
1994-01-17,.
1994-01-18,5.0443
1994-01-19,.
1994-01-20,4.9856
1994-01-21,4.9910
1994-01-24,4.9957
1994-01-25,5.0220
1994-01-26,5.0228
1994-01-27,4.9928
1994-01-28,4.9402
1994-01-31,4.9651
1994-02-01,5.0404
1994-02-02,5.0598
1994-02-03,5.1183
1994-02-04,5.2659
1994-02-07,5.3173
1994-02-08,5.3649
1994-02-09,5.3478
1994-02-10,5.3569
1994-02-11,5.3365
1994-02-14,5.3465
1994-02-15,5.3342
1994-02-16,5.3345
1994-02-17,5.4160
1994-02-18,5.4940
1994-02-21,.
1994-02-22,5.5023
1994-02-23,5.5778
1994-02-24,5.6604
1994-02-25,5.6769
1994-02-28,5.6435
1994-03-01,5.7571
1994-03-02,5.7877
1994-03-03,5.8327
1994-03-04,5.8846
1994-03-07,5.8599
1994-03-08,5.9066
1994-03-09,5.9288
1994-03-10,6.0054
1994-03-11,6.0032
1994-03-14,6.0434
1994-03-15,6.0345
1994-03-16,5.9694
1994-03-17,5.9670
1994-03-18,6.0615
1994-03-21,6.1414
1994-03-22,6.0627
1994-03-23,6.0309
1994-03-24,6.1597
1994-03-25,6.2051
1994-03-28,6.2359
1994-03-29,6.3241
1994-03-30,6.3816
1994-03-31,6.4048
1994-04-01,.
1994-04-04,6.7771
1994-04-05,6.7005
1994-04-06,6.6431
1994-04-07,6.6031
1994-04-08,6.6678
1994-04-11,6.6770
1994-04-12,6.6276
1994-04-13,6.6806
1994-04-14,6.7279
1994-04-15,6.7313
1994-04-18,6.9068
1994-04-19,6.9128
1994-04-20,6.8680
1994-04-21,6.7429
1994-04-22,6.7466
1994-04-25,6.7061
1994-04-26,6.6817
1994-04-27,.
1994-04-28,6.8216
1994-04-29,6.8708
1994-05-02,6.9205
1994-05-03,6.9614
1994-05-04,6.9751
1994-05-05,6.9547
1994-05-06,7.1723
1994-05-09,7.3409
1994-05-10,7.2348
1994-05-11,7.2934
1994-05-12,7.2708
1994-05-13,7.2046
1994-05-16,7.1447
1994-05-17,6.9559
1994-05-18,6.8563
1994-05-19,6.7408
1994-05-20,6.7717
1994-05-23,6.9296
1994-05-24,6.9395
1994-05-25,6.9146
1994-05-26,6.8914
1994-05-27,6.9326
1994-05-30,.
1994-05-31,6.9905
1994-06-01,6.9723
1994-06-02,6.9174
1994-06-03,6.8214
1994-06-06,6.7142
1994-06-07,6.7268
1994-06-08,6.7191
1994-06-09,6.7332
1994-06-10,6.7907
1994-06-13,6.8500
1994-06-14,6.7832
1994-06-15,6.8492
1994-06-16,6.8320
1994-06-17,6.8892
1994-06-20,6.9262
1994-06-21,7.0088
1994-06-22,6.9493
1994-06-23,6.9140
1994-06-24,7.0227
1994-06-27,7.0264
1994-06-28,7.1132
1994-06-29,7.1357
1994-06-30,7.2371
1994-07-01,7.2477
1994-07-04,.
1994-07-05,7.2199
